material_code,material_details,mlfb_no.,unit,qty_(01.02.24),storage_location,type
1000366495,"capacitor;14mf,pn:sc1265",NA,pc,23.5,NA,NA
1000149673,sfu for drive,NA,pc,2,NA,NA
1000555623,"drive; atv71hd11n4, vvvf, 415 v",NA,pc,1,NA,NA
1000195950,soft starter for ca fan,NA,pc,1,NA,NA
NA,NA,NA,pc,0,NA,NA
NA,NA,NA,pc,0,NA,NA
1000570527,"drive;vfd g120,1.5 kw,480vac",NA,pc,2,NA,NA
1000185353,"encoder,hollow shaft,type:hog10dn1024i, make-baumuller",NA,pc,0,NA,NA
1000322392,"encoder, make-baumuller",NA,pc,0,NA,NA
1000209532,"encoder,pn:861900220 1024 make- leine & linde",NA,pc,0,NA,NA
NA,"encoder,xhi-803",NA,pc,0,NA,NA
NA,NA,NA,pc,0,NA,NA
NA,"fan,wall mounted",NA,pc,4,NA,NA
1000357758,"ai module; 8ch, 6es74311kf200ab0,24vdc",NA,pc,3,NA,NA
1000180279,"ao module, 8ch, pn:6es7-432-1hf00-0ab0",NA,pc,3,NA,NA
1000195795,"do module, 16ch",NA,pc,3,NA,NA
1000180281,"do module, 32ch,pn:6es7-422-1bl00-0aa0",NA,pc,5,NA,NA
1000180282,"di module , 32ch, pn:6es7-421-1bl01-0aa0",NA,pc,3,NA,NA
1000195794,"di module, 16ch",NA,pc,2,NA,NA
1000180284,im module (receiver) -not in use,NA,pc,1,NA,NA
1000180285,im module (transmitter) -not in use,NA,pc,1,NA,NA
1000357441,"fm module;fm-450, 24vdc,pn:6es7450-1ap00-0ae0",NA,pc,1,NA,NA
1000097311,"cp 443-1ex30b module; 24vdc,pn:6es7450-1ap00-0ae0",NA,pc,1,NA,NA
1000331303,cp 443-5 module; 24vdc,NA,pc,3,NA,NA
NA,cp-443-1ex20 6gk7443-1ex20-0xe0,NA,pc,1,NA,NA
1000180286,power module ps407,NA,pc,2,NA,NA
1000195793,cpu 416-2dp,NA,pc,1,NA,NA
1000144013,"front connector,s7-400,6es74921al000aa0",NA,pc,5,NA,NA
1000346006,cpu 313c-2dp;pn:6es7313-6cf03-0ab0,NA,pc,1,NA,NA
1000197900,"cpu 317-2, pn:6es7-317-2ek13-0ab0",NA,pc,1,NA,NA
1000368322,"cpu 317-2, pn:6es7-317-2ek14-0ab0",NA,pc,1,NA,NA
1000224145,cpu 2ah14,NA,pc,2,NA,NA
1000309578,cp343-1 module;6gk73431cx10-0xe0 (rsm_cc),NA,pc,2,NA,NA
1000177464,olm module;6gk73431cx10-0xe0,NA,pc,1,NA,NA
1000057834,"dp/dp coupler module,mm:6es7158-0ad01-0xa0",NA,pc,3,NA,NA
1000147013,"position input module,signal,mm:6es7338-4bc01-0ab0",NA,pc,2,NA,NA
1000272424,"fm counter module;fm-350-2, 6es73502ah010ae0",NA,pc,6,NA,NA
1000200425,allen bradley plc (laying head),NA,pc,2,NA,NA
1000238802,"digital input output module,pn:6ed1 055-1nb10-0ba0",NA,pc,1,NA,NA
NA,esm_electrical switch module,NA,pc,2,NA,NA
1000267014,"smps,i/p-230vac,o/p-12v , 2a",NA,pc,1,NA,NA
1000234750,"dvp-14ss module,pwr supply,100-240vac,mm:dvpps02",NA,pc,2,NA,NA
1000195843,"bus module 2*40, et200m,pn:6es71957hb000xa0",NA,pc,10,NA,NA
1000195991,"bus module 1*80, i/o module,pn:6es71957hc000xa0",NA,pc,7,NA,NA
1000195842,"bus module ps/im 153, 6es71957ha000xa0",NA,pc,9,NA,NA
NA,memory cart (different types),NA,pc,0,NA,NA
NA,battery for cpu 6es7971-0ba00,NA,pc,17,NA,NA
1000198101,"anybus gateway-canopen to profibus,24vdc",NA,pc,1,NA,NA
NA,main plc with rack (furnace),NA,pc,1,NA,NA
NA,NA,NA,pc,0,NA,NA
1000181818,"sitop power supply, 6ep1-336-2ba00 , 24vdc,20a",NA,pc,1,NA,NA
1000014382,"sitop power supply, 6ep1-336-3ba00, 24vdc,20a",NA,pc,2,NA,NA
1000014380,"sitop power supply, 6ep1-334-3ba00, 24vdc,10a",NA,pc,5,NA,NA
1000014383,"sitop power supply, 6ep1-334-2aa01, 24vdc, a",NA,pc,2,NA,NA
1000445441,"sitop power supply, 6ep1-334-2ba20, 24vdc,10a",NA,pc,5,NA,NA
1000195844,"sitop power supply, 6ep1-333-3ba10, 24vdc,5a",NA,pc,4,NA,NA
1000197906,"sitop power supply, 6ep1-333-2aa01, 24vdc,5a",NA,pc,6,NA,NA
1000138637,"power supply module,ps 307,6es7-307-1ka02-0aa0,24v,10a",NA,pc,3,NA,NA
NA,"power supply module,ps 307,6es7-307-1ea00-0aa0,24v,5a",NA,pc,2,NA,NA
1000138637,"power supply module,ps 307,6es7-307-1ka01-0aa0,24v,10a",NA,pc,1,NA,NA
NA,"power supply module,ps 307,6es7-307-1ba00-0aa0,24v,2a",NA,pc,1,NA,NA
1000014629,"di module, 32ch, 6es7-321-1bl00-0aa0",NA,pc,8,NA,NA
1000050427,"di module, 16ch, 6es7-321-1bh02-0aa0",NA,pc,9,NA,NA
1000014630,"do module, 32ch, 6es7322-1bl00-oaao",NA,pc,3,NA,NA
1000097683,"do module, 16ch, 6es7-322-1bh01-0aa0",NA,pc,8,NA,NA
1000097685,"di module, 16ch x rel.ac230v, 6es7 322 1hh01 oaao",NA,pc,5,NA,NA
1000097684,"d0 module ,8ch, 6es7-322-1bf01-0aa0",NA,pc,2,NA,NA
1000197904,"do module, 8ch x rel.ac230v, 6es7-322-1hf01-0aa0",NA,pc,5,NA,NA
1000180276,"ai module, 8ch x 13bit, 6es7-331-1kf02-0ab0",NA,pc,12,NA,NA
1000431291,"ai module, 8ch, thermocouple, 6es7-331-7pf11-0ab0",NA,pc,8,NA,NA
1000098236/ 1000254774,"ai module, 8ch, 6es7-331-7kf02-0ab0",NA,pc,6,NA,NA
1000180276,"ai module, 8ch, 6es7-331-1kf01-0ab0",NA,pc,1,NA,NA
1000098237,"ao module, 4ch x 12bit, 6es7-332-5hd01-0ab0",NA,pc,11,NA,NA
1000195993,"ao module, 8ch x 12bit, 6es7-332-5hf00-0ab0",NA,pc,5,NA,NA
NA,"interface module (im), 6es7-153-2ba10-0xb0",NA,pc,6,NA,NA
1000195735,"interface module (im), 6es7-153-2ba02-0xb0",NA,pc,2,NA,NA
1000057833,"interface module (im), 6es7-153-1aa03-0xb0",NA,pc,11,NA,NA
1000195940,"front connector for card, 6es7-392-1am00-0aa0",NA,pc,6,NA,NA
1000014485,"front connector for card, 6es7-392-1aj00-0aa0",NA,pc,1,NA,NA
NA,"optical fiber connector, dfcustxmpr09,0.9mm",NA,pc,10,NA,NA
NA,"optical fiber adaptor, dfadsttypxpm",NA,pc,10,NA,NA
1000195799,"obt, pn:6gk1500-3aa10",NA,pc,6,NA,NA
1000253135,"repeater, rs485, 6es7-972-0aa02-0xa0",NA,pc,4,NA,NA
1000253137,"profibus connector,mm:6es7972-0bb52-0xa0",NA,pc,13,NA,NA
1000195733,"profibus connector,mm:6es7972-0ba12-0xa0",NA,pc,8,NA,NA
1000261210,"profibus connector,mm:6es7972-0bb12-0xa0",NA,pc,23.5,NA,NA
1000180290,"profibus connector,,mm:6es7972-0bb41-0xa0",NA,pc,17,NA,NA
1000207410,"relay board,8ch,1co,24vdc,5a, pc24d08-cob",NA,pc,9,NA,NA
1000198102,"motion controller-trim shear, abb,24vdc,50w",NA,pc,1,NA,NA
1000509087,"lan card,netwrk; pn:pro 1000 pt",NA,pc,3,NA,NA
1000097349,"rail,530mm f/plc, 6es7-390-1af30-0aa0",NA,pc,1,NA,NA
1000097306,"rack,main plc, 18 slot, 6es7-400-1ta01-0aa0",NA,pc,1,NA,NA
1000253139,"rail,830mm f/plc, 6es7-390-1aj30-0aa0",NA,pc,1,NA,NA
1000196121,"rail,530mm, f/plc, 6es7-195-1gf30-0xa0",NA,pc,2,NA,NA
1000253138,"rail,480mm f/plc,mm:6es7390-1ae80-0aa0",NA,pc,1,NA,NA
NA,"pressure guage ,3 inch, 0-10 bar",NA,pc,2,NA,NA
1000498223,"sensor;220/240vac,mn:uvs 10d1g1",NA,pc,0,NA,NA
NA,timer use in hardware panel,NA,pc,2,NA,NA
1000048247,"lens,varifocal,1/3in,5-50mm",NA,pc,4,NA,NA
1000183279,"camera,mm:hcc-690p f/cctv",NA,pc,4,NA,NA
1000198106,"switch,proximity,30mm,pn:ii5829",NA,pc,6,NA,NA
1000211028,"ped sensor,photo electric,mm:o4h500",NA,pc,6,NA,NA
1000198111,"ped sensor, photo sensor,pn:oa0106",NA,pc,5,NA,NA
1000267014,"smps,i/p-230vac,50hz,o/p-12v dc/2a",NA,pc,2,NA,NA
1000214151,"valve,solenoid,5/2way,pn:5811170050",NA,pc,6,NA,NA
1000007736,"controller,3step,joystick,5-0-5pos,10a",NA,pc,1,NA,NA
1000181007,"flow switch indicator,pn:08.01.01.01/05",NA,pc,6,NA,NA
1000182313,"part of limit switch,limit,240v ac,iec60947-5-1",NA,pc,3,NA,NA
NA,"limit switch,3se5112-0ya00",NA,NA,0,NA,NA
NA,"liver part,limit switch, siemens",NA,pc,10,NA,NA
1000588026,"camera,dig;pn:frtpaccameccdvt1100",NA,pc,1,NA,NA
1000138051,"smps,2.5a,24vdc",NA,pc,1,NA,NA
1000458352,"timer;on delay,230vac,pn:h30tg",NA,pc,1,NA,NA
1000213394,"laser sensor,pn:01d100",NA,pc,5,NA,NA
1000214187,"connector,mm:ds2508",NA,pc,4,NA,NA
NA,oxygen analyser calibration kit,NA,pc,1,NA,NA
1000398020,sensor;mn:wtb27-3p2411s18,NA,pc,23,NA,NA
1000168849,"fuse,160a,din 000,type:170m1569d",NA,pc,5,NA,NA
1000591651,"transmitter,prs;pn:7mf4033iba101aa6z (ca fan pt)",NA,pc,1,NA,NA
1000513713,"damper position xmtr;position,sipart ps2- (make-siemens)- pg & main damper",NA,pc,0,NA,NA
1000013595,"damper positioner,ffb,mm:tzidc 120,make-abb",NA,pc,3,NA,NA
1000520166,"level transmitter,radr;mn:sitrans lr250",NA,pc,1,NA,NA
1000011919,"positioner,pneumatic,mm:830wp make- fobsmarshal",NA,pc,1,NA,NA
NA,"hfo line shutoff valve,2inch,10bar, 0001593, make- burket",NA,NA,0,NA,NA
1000198124,"connector,pn:bks-s 32m-00,f/transducer",NA,pc,7,NA,NA
1000214144,"magnet f/transducer,mm:btl5f28141s",NA,pc,3,NA,NA
1000214078,"bar;175mm,pn:btl2gs100175a",NA,pc,9,NA,NA
1000259382,"fuse,1000a,700-200ka,type:170m6714",NA,pc,7,NA,NA
1000390259,"mpcb;6-10a,3p,pn:gv2me14+gvad1010",NA,pc,23,NA,NA
1000303835,valve;pn:vas120r/nwsr,NA,pc,4,NA,NA
1000323969,"mcb;1p, 80a,pn:a9n18357",NA,pc,2,NA,NA
1000207571,"pressure switch,500mbar,mm:dg500u-3 (for gas)",NA,pc,0,NA,NA
NA,"ct, 400/5,va5, class-15,type-r",NA,pc,4,NA,NA
NA,"ct, 600/5,va5, class-15,type-r",NA,pc,3,NA,NA
NA,"ct, 50/5,va5, class-15,type-r",NA,pc,3,NA,NA
NA,"burket pneumatic shutoff valve,10bar, 424103",NA,pc,3,NA,NA
NA,"transformer 115-200v/27vdc,4a,vt-ne30-20 make- rexroth",NA,pc,3,NA,NA
1000191024,"flomac flowmetern rate totaliser, model- rt141 d0fmw/pulse,mm:rt121d0mm",NA,pc,6,NA,NA
1000484191,"transmitter,prs;pn:7mf4033-1da10-2ac6-z, siemens",NA,pc,3,NA,NA
1000220376,"mccb,400a,3p,50ka,mm:lv432693",NA,pc,1,NA,NA
NA,"schneider no-nc contact, gvae11",NA,pc,16,NA,NA
NA,bcu 460-5/1w1gb,NA,pc,2,NA,NA
NA,"temp controller (fuji electric),type-pxf9aey2-1v100",NA,pc,1,NA,NA
NA,"pt 7mf03000-1je01-5am2z,sitrans p320,6 bar ,make- siemens",NA,pc,1,NA,NA
1000511965,"dpt, flow transmitter,dp;1-20mbar,4-20ma, siemens",NA,NA,1,NA,NA
1000484191,"dpt,transmitter,prs;pn:7mf4033-1da10-2ac6-z, make- siemens",NA,pc,2,NA,NA
1000303845,"dpt ,flow tansmitter;pn:7mf4433-1ea02-1aa6-z,6-600 mbar, make- siemens",NA,pc,3,NA,NA
1000330408,"temp transmitter;0-100c,22-32vdc,pn:ets 1700 make- hydac",NA,pc,1,NA,NA
NA,"aux contact, 3vl9400-2aj20",NA,pc,0,NA,NA
NA,"proxy full thread ,iis226",NA,pc,8,NA,NA
1000318576,"valve,sol;mn:smc sy5140-5dz-q",NA,pc,1,NA,NA
1000310404,"level switch,lvl;lr7000,18-30 vdc, ifm",NA,pc,2,NA,NA
1000294666,"glass;pyrex/borosillicate,dia. 82.5,camera",NA,pc,10,NA,NA
1000572315,"meter,flow;al,pn:om050a001-511-r5",NA,pc,4,NA,NA
NA,"rtd,pt-100, 450mm",NA,pc,10,NA,NA
1000182358,"rtd,2 wire,pt-100, 300mm, ss f/heat tracer",NA,pc,10,NA,NA
NA,"rtd, pt-100, 200mm",NA,pc,3,NA,NA
1000245448,"thermocouple, k type,simplex,3mm,2000mm",NA,pc,6,NA,NA
NA,"thermocouple,t type",NA,pc,1,NA,NA
1000012229,"pressure transmitter,press,0-10bar, siemens",NA,pc,4,NA,NA
NA,NA,NA,pc,0,NA,NA
NA,NA,NA,pc,0,NA,NA
1000251164,"hrc fuse, 690v,900a, pn:3ne3340-8",NA,pc,7,NA,NA
1000358178,"hrc fuse, 690v,850a, pn:3ne1448-2",NA,pc,3,NA,NA
1000359192,"hrc fuse, 690v,710a, pn:3ne3337-8",NA,pc,6,NA,NA
1000261373,"hrc fuse, 690v,630a, pn:3ne3336",NA,pc,8,NA,NA
1000251165,"hrc fuse, 690v,560a, pn:3ne3335",NA,pc,6,NA,NA
1000251166,"hrc fuse, 690v,500a, pn:3ne3334-0b",NA,pc,6,NA,NA
1000298682,"hrc fuse, 690v,450a, pn:3ne3233",NA,pc,6,NA,NA
1000251163,"hrc fuse, 690v,400a, pn:3ne3232-0b",NA,pc,6,NA,NA
1000004717,"hrc fuse, 690v,315a, pn:3ne1230-0",NA,pc,4,NA,NA
1000227801,"hrc fuse, 690v,200a, pn:3ne1225-0",NA,pc,23.5,NA,NA
