WRM Electrical Spare List ,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,,Unit,Qty (01.02.24),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,MLFB No.,Unit,Qty (01.02.24),Used Location,Capacity,Storage Location,Type,,,,,,,,,,
29,1000238263,"COIL, SOLENOID,24VDC,1.25A,MM:M-3SED6CK-1X350CG24N9K4",,PC,11,,,,,,,,,,,,,,
30,1000084653,"COIL,SOLENOID,24VDC,1.45A,MM:019793 K425",,PC,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
31,1000568853,"CONNECTOR;PROXIMITY SENSOR,PN:E11293",,PC,30,,,,,,,,,,,,,,
32,1000011919,"POSITIONER,PNEUMATIC,MM:830WP (Make-Fobs Marshal)",,PC,3,,,,,,,,,,,,,,
33,1000192410,"POSITIONER;4-20mA,MM:DVC6020 F/VALVE (Make-Fisher)",,PC,1,,,,,,,,,,,,,,
34,,PT & FT Fixing Clamp,,PC,3,,,,,,,,,,,,,,
35,1000234762,"CONTROLLER STREIGHTING MACHINE PANEL,24VDC,MM:TP02G-AS1",,PC,1,,,,,,,,,,,,,,
36,,DC VALVE W517C79 (MAKE-ROSS),,PC,3,,,,,,,,,,,,,,
37,,DC VALVE  (MAKE-ROSS),,PC,3,,,,,,,,,,,,,,
38,1000494549,"CONNECTOR;MALE,PN:268B94",,PC,26,,,,,,,,,,,,,,
39,1000494581,"CONNECTOR;FEMALE,PN:267B94",,PC,25,,,,,,,,,,,,,,
41,1000316989,"DRIVE;380-480V,PN:SKC3400300,  MAKE- NORTEK-FOR VD",,PC,1,,,,,,,,,,,,,,
42,1000316986,"DRIVE;380-480V,PN:SKB3400150,   MAKE- NORTEK-FOR VD",,PC,1,,,,,,,,,,,,,,
43,1000266804,SIEMENS POSITIONER DISPLAY (NOT IN USE),,PC,1,,,,,,,,,,,,,,
44,1000316861,TEMPERATURE SWITCH; PN:2059031  MAKE- NORTEK FOR VD,,PC,1,,,,,,,,,,,,,,
45,1000316858,FLOW SWITCH; PN:2039501 MAKE- NORTEK -FOR VD,,PC,3,,,,,,,,,,,,,,
46,1000316873,"VALVE,SOL;EBB 6212,PN:EBB 6212 MAKE- NORTEK  -FOR VD",,PC,1,,,,,,,,,,,,,,
47,,SOLENOID COIL -FOR VD,,PC,2,,,,,,,,,,,,,,
48,1000230428,"SWITCH,FLOW,110°C,MM:UM3K-015-GM70, MAKE- NORTEK-FOR VD",,PC,1,,,,,,,,,,,,,,
48A,1000316872,"CONTROL;FLOW,PN:12A",,PC,1,,,,,,,,,,,,,,
49,1000293989,LEVEL SWITCH;PN:NT 62-MS-S6,,PC,1,,,,,,,,,,,,,,
50,1000316870,"LEVEL SWITCH;ELECTRICAL,PN:4604102/100 -FOR VD",,PC,1,,,,,,,,,,,,,,
51,1000316868,"VALVE,SOL;ESM 8614,PN:ESM 8614 -FOR VD",,PC,1,,,,,,,,,,,,,,
52,1000484947,"THERMOCOUPLE;PT100,3,PN:TR10-D  -FOR VD",,PC,1,,,,,,,,,,,,,,
53,,TEMPERATURE SENSOR (LENGTH-500MM)- FOR VD,,PC,1,,,,,,,,,,,,,,
54,1000317180,LEVEL SWITCH;PN:4604115_260   -FOR VD,,PC,1,,,,,,,,,,,,,,
55,1000316855,"VALVE,SOL;VS 8414,PN:VS 8414  -FOR VD",,PC,1,,,,,,,,,,,,,,
56,,LEVEL SWITCH (90 Deg Bend type) -FOR VD,,PC,1,,,,,,,,,,,,,,
57,,PRESSURE GUAGE (0 - 2.5 BAR),,PC,1,,,,,,,,,,,,,,
58,1000311872,FLOAT LEVEL SWITCH,,PC,1,,,,,,,,,,,,,,
59,1000476326,TRANSFORMER FOR ENERPAC ,,PC,1,,,,,,,,,,,,,,
60,,Water Flowmeter Controller (Make- Rosemount),,PC,1,,,,,,,,,,,,,,
61,,Water Flowmeter (Make- Rosemount),,PC,1,,,,,,,,,,,,,,
63,1000526894,"DC VALVE;10BAR,PN:W7076A3332",Given to Mech,PC,0,,,,,,,,,,,,,,
64,1000583963,"POSITIONER VALVE,CTRL;CS.A216,WCC,SS,CL150,6IN,FE (Cable Celler)",,PC,1,,,,,,,,,,,,,,
65,1000583970,"POSITIONER VALVE,CTRL;CS,A216,WCC,SS,CL150,4IN,FE (Cable Celler)",,PC,1,,,,,,,,,,,,,,
66,1000584019,"POSITIONER VALVE,CTRL;CS,A216WCC,SS,CL150,3IN,FE (Cable Celler)",,PC,1,,,,,,,,,,,,,,
,,,,PC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000047839,"LOUDSPEAKER,MM:LBD 8347+LBD 8308",,PC,2,,,,,,,,,,,,,,
2,1000009776,"SIREN,ELECTRONIC,220VAC,RANGE-1KM",,PC,3,,,,,,,,,,,,,,
2A,1000009792,"SIREN, ELECTRONICS",,PC,5,,,,,,,,,,,,,,
3,1000047838,"AMPLIFIER,EXTENSION,MM:LBD8924/01",,PC,3,,,,,,,,,,,,,,
4,1000047813,"JUNCTION BOX,MM:LBD8930 JL",,PC,7,,,,,,,,,,,,,,
5,1000047855,"LOUDSPEAKER,MM:LBD 8363/MR  (Small)",,PC,12,,,,,,,,,,,,,,
6,1000356913,SPEAKER UNIT (PART OF LOUDSPEAKER);PN:LBD 8308M,,PC,4,,,,,,,,,,,,,,
7,1000047845,"DIAPHRAGM F/DRIVER UNIT,MM:LBD8308 30W",,PC,18,,,,,,,,,,,,,,
8,1000047847,"CAPSULE,EARPICE,MM:LBD 8904",,PC,30,,,,,,,,,,,,,,
9,1000047931,"CAPSULE,MOUTHPIECE,MM:LBD 8904",,PC,10,,,,,,,,,,,,,,
11,1000047929,"HANDSET,COMPLETE,MM:LBD 8904",,PC,8,,,,,,,,,,,,,,
12,1000047930,"CRADLE SWITCH,MM:LBD 8904",,PC,5,,,,,,,,,,,,,,
13,1000047936,"TRANSISTOR UNIT,MM:LBD 8904",,PC,10,,,,,,,,,,,,,,
14,1000047934,"DIODE UNIT,MM:LBD 8904",,PC,10,,,,,,,,,,,,,,
15,,CLAMP ,,PC,1,,,,,,,,,,,,,,
16,,"PRESET, 100 OHM",,PC,7,,,,,,,,,,,,,,
17,1000257092,"PRESET F/AMPLIFIER,MM:LBD8924/01",,PC,20,,,,,,,,,,,,,,
18,,"PRESET, 1 KOHM",,PC,8,,,,,,,,,,,,,,
19,,"PRESET, 10KOHM",,PC,6,,,,,,,,,,,,,,
20,1000047932,"PRESET UNIT,V&H,MM:LBD 8904",,PC,10,,,,,,,,,,,,,,
21,1000047937,"RELAY;24V/02 POLE,MM:LBD 8904",,PC,1,,,,,,,,,,,,,,
22,1000047930,"CRADLE SWITCH,MM:LBD 8904",,PC,5,,,,,,,,,,,,,,
23,,"PRESET, 200 OHM",,PC,5,,,,,,,,,,,,,,
24,,TRANSITOR ,,PC,10,,,,,,,,,,,,,,
25,1000047933,"CAPACITOR UNIT,MM:LBD 8904",,PC,5,,,,,,,,,,,,,,
26,1000047851,"MICRO SWITCH,MM:LBD 8904",,PC,2,,,,,,,,,,,,,,
27,,RELAY Q3F-1Z,,PC,2,,,,,,,,,,,,,,
28,1000047851,MICRO SWITCH,,PC,10,,,,,,,,,,,,,,
29,,TRANSISTOR ,,PC,5,,,,,,,,,,,,,,
30,,RESISTANCE,,PC,5,,,,,,,,,,,,,,
31,,GLAND,,PC,3,,,,,,,,,,,,,,
32,,SPEAKER REPAIRING CARD,,PC,1,,,,,,,,,,,,,,
33,1000047857,"MAIN PCB DESKTOP, MM:LBD 8904",,PC,9,,,,,,,,,,,,,,
34,1000047856,"TRANSFORMER- AMPLIFIER,MM:LBD 8904",,PC,30,,,,,,,,,,,,,,
35,,DESKTOP TRANSFORMER,,PC,30,,,,,,,,,,,,,,
36,,"TRANSFORMER,HANDSET (SMALL SIZE)",,PC,30,,,,,,,,,,,,,,
36A,1000257096,"FUSE,1.6A F/AMPLIFIER,LBD8924/01",,PC,20,,,,,,,,,,,,,,
37,1000047822,"DESKTOP STATION,TYPE:LBD/8904",,PC,2,,,,,,,,,,,,,,
38,1000047825,"PUBLIC ADDRESS SYSTEM,MM:LBD-8921/01",NEW,PC,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000413817,"SWITCH,PRS;PN:3397160,F/AC PANEL",,PC,4,,,,,,,,,,,,,,
2,1000411181,"VALVE;EXPANSION,PN:3397334",,PC,3,,,,,,,,,,,,,,
3,1000413836,"DRYER;PN:3397048,F/AC PANEL",,PC,1,,,,,,,,,,,,,,
4,1000413832,"VALVE;PN:3397050,F/AC PANEL",,PC,4,,,,,,,,,,,,,,
5,1000413833,"COIL,CONDNSR;PN:3397614,F/AC PANEL",,PC,1,,,,,,,,,,,,,,
6,1000413837,"COIL,EVAPORATOR;PN:3397613,F/AC PANEL",,PC,1,,,,,,,,,,,,,,
7,,CAPACITOR 2 Micro F,,PC,3,,,,,,,,,,,,,,
8,1000303193,"PIPE NRV, PN: 3397522, F/AC PANEL",,PC,4,,,,,,,,,,,,,,
9,1000413818,"SENSOR,TEMP;PN:3397537,F/AC PANEL",,PC,1,,,,,,,,,,,,,,
10,1000411182,"SENSOR,TEMP;PN:3397534,F/COOLING UNIT",,PC,1,,,,,,,,,,,,,,
11,,TEMPERATURE SENSOR,,PC,4,,,,,,,,,,,,,,
11A,1000431318,PROBE;PN:52125-1,,PC,0,,,,,,,,,,,,,,
12,1000186448,"BRAZING ROD,COPPER,1/8IN",,KG,1,,,,,,,,,,,,,,
13,1000274724,"CARD,DISPLAY,PN:3396282 F/PANEL,338310",,PC,1,,,,,,,,,,,,,,
13A,1000303117,DISPLAY;PN:3399008 (632414),,PC,0,,,,,,,,,,,,,,
13B,1000431326,"CONTROLLER;DWYER TS2-010,PN:52100-1",,PC,0,,,,,,,,,,,,,,
14,1000184566,"AEROSOL CAN,LPG",,PC,1,,,,,,,,,,,,,,
15,1000413816,"THERMOSTAT;PN:3397000,F/AC PANEL",,PC,0,,,,,,,,,,,,,,
16,1000411189,"FILTER;DRIER,PN:3397058,F/COOLING UNIT",,PC,1,,,,,,,,,,,,,,
17,1000413823,"DRYER;PN:3397015,F/AC PANEL",,PC,0,,,,,,,,,,,,,,
18,1000303113,EVAPORATOR;PN:3399008 (632408),,PC,0,,,,,,,,,,,,,,
19,1000303173,FILTER;PN:3399008 (632413),,PC,0,,,,,,,,,,,,,,
20,1000303171,CONDENSER;PN:3399008 (642772),,PC,0,,,,,,,,,,,,,,
21,1000310505,"FAN;CONDENSOR,3396007,F/PANEL",,PC,3,,,,,,,,,,,,,,
22,1000413827,"EVAPORATOR;PN:3396005,F/AC PANEL",,PC,0,,,,,,,,,,,,,,
23,1000303113,EVAPORATOR;PN:3399008 (632408),,PC,0,,,,,,,,,,,,,,
24,1000303124,COMPRESSOR;PN:3399008 (632369),,PC,0,,,,,,,,,,,,,,
25,1000413821,"VALVE;PN:3397049,F/AC PANEL",,PC,0,,,,,,,,,,,,,,
26,1000465858,"REFRIGERANT;R134A,500GRMS",,PC,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000219509,"AUX CONTACTOR,110VAC,2NO+2NC,PN:N22E ,ABB",,PC,23,,,,,,,,,,,,,,
2,1000005660,"AUX CONTACTOR,110VAC,4NO,PN:N40E,ABB",,PC,25,,,,,,,,,,,,,,
3,1000005081,"AUX CONTACTOR,110VAC,4NO,PN:3TH30-40-0AF0,SIEMENS",,PC,11,,,,,,,,,,,,,,
4,1000141414,"AUX CONTACTOR,230 VAC,3NO+1NC,PN:3TH30-31-0AP0, SIEMENS",,PC,6,,,,,,,,,,,,,,
5,1000278536,"AUX CONTACTOR,230V,4NO,PN:3TH30-40-0AU0,SIEMENS",,PC,2,,,,,,,,,,,,,,
6,1000219510,"AUX CONTACTOR,24VDC,2NO+2NC,PN:NF22E,ABB",,PC,10,,,,,,,,,,,,,,
7,1000254215,"AUX CONTACTOR,24VDC,4NO,PN:3TH30-40-0BB4,SIEMENS",,PC,4,,,,,,,,,,,,,,
8,1000005151,"POWER CONTACTOR,110VAC,45A,PN:A26-30-10,ABB ",,PC,64,,,,,,,,,,,,,,
9,1000005152,"POWER CONTACTOR,110VAC,55A,PN:A30-30-10,ABB",,PC,6,,,,,,,,,,,,,,
10,1000005153,"POWER CONTACTOR,110VAC,60A,PN:A40-30-10,ABB",,PC,11,,,,,,,,,,,,,,
11,,"POWER CONTACTOR,110VAC,27A,PN:A12-30-10,ABB",,PC,10,,,,,,,,,,,,,,
12,1000061361,"POWER CONTACTOR,220VAC,27A,PN:A12-30-10,ABB",,PC,3,,,,,,,,,,,,,,
13,1000254211,"POWER CONTACTOR,110VAC,9A,PN:3RT2016-AF01, SIEMENS",,PC,35,,,,,,,,,,,,,,
14,1000261869,"POWER CONTACTOR,220VAC,9A,2NO+2NC,PN:3RT1015-1AP04-3MA0, SIEMENS",,PC,8,,,,,,,,,,,,,,
14A,1000149632,"POWER CONTACTOR,220V,20A,PN:3TF31-10-0BM4",,PC,1,,,,,,,,,,,,,,
15,,"POWER CONTACTOR,110VAC,25A,1NO+1NC,PN:3RT2026-1AG20, SIEMENS",,PC,8,,,,,,,,,,,,,,
16,1000254212,"POWER CONTACTOR,110VAC,25A,PN:3RT1026-1AG2, SIEMENS",,PC,1,,,,,,,,,,,,,,
17,,"POWER CONTACTOR,24V,95A,HAVELLS",,PC,3,,,,,,,,,,,,,,
18,1000219513,"POWER CONTACTOR,110VAC,115A,PN:A63-30-00,ABB",,PC,5,,,,,,,,,,,,,,
19,1000005155,"POWER CONTACTOR,110VAC,125A,PN:A75-30-00,ABB",,PC,4,,,,,,,,,,,,,,
20,1000376508,"POWER CONTACTOR,220VAC,125A,PN:LC1 D95M7,SCHNEIDER",,PC,1,,,,,,,,,,,,,,
21,1000062224,"POWER CONTACTOR,110VAC,160A,PN:A110-30-11,ABB",,PC,0,,,,,,,,,,,,,,
22,1000260569,"POWER CONTACTOR,220VAC,175A,2NO+2NC, 3RT14766AP36",,PC,8,,,,,,,,,,,,,,
23,1000092620,"POWER CONTACTOR,220VAC,200A,PN:LC1 F115, SCHNEIDER",,PC,2,,,,,,,,,,,,,,
24,1000598187,"POWER CONTACTOR,220VAC,250A,PN:LC1D150P7, SCHNEIDER",,PC,1,,,,,,,,,,,,,,
25,1000453647,"POWER CONTACTOR,110VAC,250A,PN:A145-30-11,ABB",,PC,4,,,,,,,,,,,,,,
26,1000005157,"POWER CONTACTOR,110VAC,275A,PN:A185-30-11,ABB",,PC,5,,,,,,,,,,,,,,
27,1000219514,"POWER CONTACTOR,110VAC,350A,PN:A210-30-11,ABB",,PC,6,,,,,,,,,,,,,,
28,1000475080,"POWER CONTACTOR,110VAC,400A,PN:A260-30-11,ABB",,PC,2,,,,,,,,,,,,,,
29,1000005158,"POWER CONTACTOR,110VAC,500A,PN:A300-30-11,ABB",,PC,2,,,,,,,,,,,,,,
30,1000005162,"POWER CONTACTOR,110V-250V,600A,PN:AF400-30-11, ABB",,PC,8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000425194,"KIT,CONTACT;A210-30-11,PN:ZL210",,PC,2,,,,,,,,,,,,,,
2,1000425193,"KIT,CONTACT;A185-30-11,PN:ZL185",,PC,6,,,,,,,,,,,,,,
3,1000425198,"KIT,CONTACT;A110-30-11,PN:ZL110",,PC,9,,,,,,,,,,,,,,
4,1000300214,"CONTACT;ZL 75,PN:1 SBN 164 103 R1000",,PC,1,,,,,,,,,,,,,,
5,1000425195,"KIT,CONTACT;A63-30-00,PN:ZL63",,PC,6,,,,,,,,,,,,,,
6,1000425197,"KIT,CONTACT;AF400-30-11,PN:ZL400",,PC,0,,,,,,,,,,,,,,
7,1000425199,"KIT,CONTACT;A145-30-11,PN:ZL145",,PC,0,,,,,,,,,,,,,,
8,1000425196,"KIT,CONTACT;A75-30-00,PN:ZL75",,PC,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000473210,"LIGHT;LED,PN:LWV12-70-CDL, 70W",,PC,24,,70W,,,,,,,,,,,,
2,1000413800,"LIGHT,LED,WELL GLASS, 40W",,PC,16,,40W,,,,,,,,,,,,
3,1000461482,"LIGHT;LED, FLOOD LIGHT, 90W",,PC,29,,90W,,,,,,,,,,,,
4,1000508021,"LIGHT;LED HIGHBAY, 150W",,PC,100,,150W,,,,,,,,,,,,
5,1000603950,"LIGHT;LED HIGHBAY,PN:911401873981, 150W (Light weight)",,PC,0,,150W,,,,,,,,,,,,
6,1000522143,"LAMP;LED, 37W",,PC,16,,37W,,,,,,,,,,,,
7,1000482981,"LIGHT;LED,FLOOD LIGHT, 200W",,PC,2,,200W,,,,,,,,,,,,
8,1000555866,"LIGHT;LED,MN:LFLPI-400CDL/60, 400W",,PC,5,,400W,,,,,,,,,,,,
9,,,,PC,,,,,,,,,,,,,,,
10,,,,PC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,Cable 16C x 1.5 sq. mm,,,425,,,Furnace Store,"Cu, Arm",,,,,,,,,,
2,,Cable 12C x 1.5 sq.mn,,,997,,,Furnace Store,"Cu, Arm",,,,,,,,,,
3,,Cable 12C x 1.5 sq. mm,,,500,,,Furnace Store,"Cu, Arm",,,,,,,,,,
4,,Cable 12C x 1.5 sq. mm,,,520,,,Furnace Store,"Cu, Arm",,,,,,,,,,
5,,Cable 12C x 1 sq. mm,,,500,,,Cable celler,"Cu, Arm",,,,,,,,,,
6,,Cable 12C x 2.5 sq.mn,,,253,,,Cable celler,"Cu, Arm",,,,,,,,,,
7,,"Cable 8C,4 Pair x 0.5 sq.mm",,,600,,,Furnace Store,Cu (Inst),,,,,,,,,,
8,,"Cable 8C,4 Pair x 1 sq.mm",,,25,,,Cable celler,Cu (Inst),,,,,,,,,,
9,,Cable 7C x 1.5 sq. mm,,,500,,,Furnace Store,"Cu, Arm",,,,,,,,,,
10,,Cable 7C x 1.5 sq. mm,,,993,,,Electrical Store,"Cu, Arm",,,,,,,,,,
11,,Cable 7C x 1.5 sq. mm,,,602,,,Electrical Store,"Cu,   N-Arm",,,,,,,,,,
12,,Cable 7C x 1.5 sq. mm,,,98,,,Cable celler,"Cu, Arm",,,,,,,,,,
13,,Cable 7C x 2.5 sq. mm,,,450,,,Cable celler,"Cu, Arm",,,,,,,,,,
14,,Cable 7C x 2.5 sq. mm,,,200,,,Cable celler,"Cu, lapp",,,,,,,,,,
16,,Cable 6C x 1.5 sq. mm,,,20,,,Electrical Store,"Cu,  N-Arm",,,,,,,,,,
17,,Cable 4C x 2.5 sq. mm,,,912,,,Cable celler,"Cu, Arm",,,,,,,,,,
18,,Cable 4C x 2.5 sq. mm,,,25,,,Cable celler,"Cu, Arm",,,,,,,,,,
19,,Cable 3C x 2.5 sq. mm,,,20,,,Electrical Store,"Cu, Flexible",,,,,,,,,,
20,,Cable 2C x 1.5 sq. mm,,,184,,,Cable celler,"Cu, Arm",,,,,,,,,,
21,,Cable 2C x 10 sq. mm,,,490,,,Furnace Store,"Cu, Arm",,,,,,,,,,
22,,Cable 1C x 16sq. mm,,,300,,,Electrical Store,"Cu, Flexble",,,,,,,,,,
23,,Cable 1C x 16 sq. mm,,,50,,,Electrical Store,"Cu, Flexible",,,,,,,,,,
24,,Cable 4C x 16 sq. mm,,,186,,,Furnace Store,"Cu, Arm",,,,,,,,,,
25,,Cable 4C x 35 sq. mm,,,58,,,Cable celler,"Al, Arm",,,,,,,,,,
26,,Cable 3.5C x 35sq. mm,,,496,,,Electrical Store,"Cu, Arm",,,,,,,,,,
27,,Cable 3C x 35 sq. mm,,,295,,,Cable celler,"Al, Arm",,,,,,,,,,
28,,Cable 3C x 95 sq. mm,,,94,,,Cable celler,"Al, Arm",,,,,,,,,,
29,,Cable 3C x 95 sq. mm,,,110,,,Cable celler,"Al,Arm",,,,,,,,,,
30,,Cable 3C x 120 sq. mm,,,70,,,Cable celler,"Cu, Flexb",,,,,,,,,,
31,,Cable 3C x 150 sq. mm,,,45,,,Cable celler,"Al, Arm",,,,,,,,,,
32,,Cable 3.5C x 240 sq. mm,,,175,,,Cable celler,"Al, Arm",,,,,,,,,,
33,,Cable 3C x 240 sq. mm,,,144,,,Cable celler,"Al, Arm",,,,,,,,,,
34,,Cable 3C x 300 sq. mm,,,70,,,Cable celler,"Al, Arm",,,,,,,,,,
35,,Obtical fiber cable,,,800,,,Cable celler,N-Arm,,,,,,,,,,
36,,Obtical fiber cable,,,500,,,ECR-1,N-Arm,,,,,,,,,,
37,,Obtical fiber cable,,,600,,,ECR-1,N-Arm,,,,,,,,,,
38,,"Co-Axial Cable (Digital Camera),1C",,,1220,,,ECR-1, CU,,,,,,,,,,
39,,Lap cable 7C x 1.5 Sq.mm,,,30,,,ECR-1,"Cu, N-Arm",,,,,,,,,,
40,,Profibus cable,,,600,,,ECR-1,Cu,,,,,,,,,,
41,1000306971,Instrument Skinned cable,,,600,,,ECR-1,Cu,,,,,,,,,,
42,1000306971,Instrument Skinned cable,,,520,,,ECR-1,Cu,,,,,,,,,,
43,1000306971,Instrument Skinned cable (old),,,150,,,ECR-1,Cu,,,,,,,,,,
44,,"Instrument Skinned cable,Pair Cable, 8Pair",,,20+20,,,ECR-1,Cu,,,,,,,,,,
45,,Heat Proof Cable (for Furnace),,,15,,,ECR-1,Cu,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,"OIL SEAL,RUBBER,17X30X7MM#",,,58,,,,,,,,,,,,,,
2,1000024774,"OIL SEAL,RUBBER,30X47X7MM#",,,25,,,,,,,,,,,,,,
3,,"OIL SEAL,RBR,35X54X7MM",,,8,,,,,,,,,,,,,,
4,1000174985,"OIL SEAL,RBR,35X52X7MM",,,137,,,,,,,,,,,,,,
5,1000064428,"OIL SEAL,35X47X7MM",,,26,,,,,,,,,,,,,,
6,,"OIL SEAL,RUBBER,35X52X5MM#",,,50,,,,,,,,,,,,,,
7,1000024980,"OIL SEAL,RUBBER,40X52X7MM",,,31,,,,,,,,,,,,,,
8,1000024795,"OIL SEAL,RUBBER,40X55X7MM#",,,16,,,,,,,,,,,,,,
9,,"OIL SEAL,RUBBER,45X52X7MM#",,,20,,,,,,,,,,,,,,
10,1000203716,"OIL SEAL,RBR,45X65X8MM",DRT-CRT,,12,,,,,,,,,,,,,,
11,1000228906,"OIL SEAL,PU,65X85X10MM",,,49,,,,,,,,,,,,,,
12,1000024879,"OIL SEAL,RUBBER,80X100X10MM#",,,43,,,,,,,,,,,,,,
13,1000250908,"OIL SEAL,PN:106178",,,0,,,,,,,,,,,,,,
14,1000250922,"OIL SEAL,PN:13228811",,,0,,,,,,,,,,,,,,
15,1000250921,"OIL SEAL,PN:106062",,,0,,,,,,,,,,,,,,
16,1000250909,"OIL SEAL,PN:106232",,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,"DC Gland, 12 mm",,PC,200,,,,,,,,,,,,,,
2,,"PVC Gland,16 mm",,PC,30,,,,,,,,,,,,,,
3,,"PVC Gland,12 mm",,PC,60,,,,,,,,,,,,,,
4,,"DC Gland, 16 mm",,PC,180,,,,,,,,,,,,,,
5,,"SC Gland, 16 mm",,PC,120,,,,,,,,,,,,,,
6,,"DC Gland, 19 mm",,PC,220,,,,,,,,,,,,,,
7,1000195360,"DC Gland, 22 mm",,PC,0,,,,,,,,,,,,,,
8,,"DC Gland, 25 mm",,PC,80,,,,,,,,,,,,,,
9,1000195412,"DC Gland, 32 mm",,PC,0,,,,,,,,,,,,,,
10,1000537943,"DC Gland, 35 mm",,PC,0,,,,,,,,,,,,,,
11,,"DC Gland, 38 mm",,PC,80,,,,,,,,,,,,,,
12,,"DC Gland, 50 mm",,PC,70,,,,,,,,,,,,,,
13,,"DC Gland, 63 mm",,PC,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
