WRM Electrical Spare List ,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,,Unit,Qty (01.02.24),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,MLFB No.,Unit,Qty (01.02.24),Used Location,Capacity,Storage Location,Type,,,,,,,,,,
D5,1000420157,"SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 1025A RATED POWER: 1000KW CHASSIS UNIT 
MLFB NO- 6SL3320-1TG41-0AA0",,PC,1,"RSM#01,02
 (Installed Qty-6)",,,,,,,,,,,,,
D6,1000189381,"SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 910A RATED POWER: 900KW CHASSIS UNIT
MLFB NO- 6SL3320-1TG38-8AA0",,PC,1,"PFM#01,02 
 (Installed Qty-4)",,,,,,,,,,,,,
D7,1000189380,"SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 735A RATED POWER: 710KW CHASSIS UNIT",,PC,1 New +1 Old,"Stand#04,05,06,07,08,10,12,14
 (Installed Qty-8)",,,,,,,,,,,,,
D8,1000189379,"SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 575A RATED POWER: 560KW CHASSIS UNIT 
MLFB NO- 6SL3320-1TG35-8AA0",,PC,1 Old,"Stand#01,02.Shear#01,02
 (Installed Qty-4)",,,,,,,,,,,,,
D9,1000189375,"SINAMICS SINGLE MOTOR MODULE INPUT: 600V/DC OUT: 3PH 400V,490A
MLFB NO- 6SL3320-1TE35-0AA0",,PC,1,"Stelmor Fan
 (Installed Qty-12)",,,,,,,,,,,,,
D10,1000189378,"SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 410A RATED POWER: 400KW CHASSIS UNIT 
MLFB NO-6SL3320-1TG34-1AA0",,PC,1,"LHPR
 (Installed Qty-1)",,,,,,,,,,,,,
D10A,1000323909,"DRIVE;BM4145-ST0-00300-03, 125A MAKE- BAUMULLER",,PC,1OLD,CNC MACHINE,,,,,,,,,,,,,
D10B,,"DRIVE;BM4143-SI20-21343-0308-1, 66A, MAKE- BAUMULLER",,PC,1OLD,CNC MACHINE,,,,,,,,,,,,,
D11,1000189377,"SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 330A RATED POWER: 315KW CHASSIS UNIT 
MLFB NO- 6SL3320-1TG33-3AA0",,PC,1,"Laying Head
 (Installed Qty-1)",,,,,,,,,,,,,
D12,1000189374,"SINAMICS SINGLE MOTOR MODULES INPUT: 600 V DC OUTPUT: 3-PH 400 V, 310 A
MLFB NO- 6SL3320-1TE33-1AA0",,PC,1,"Billet Skid,Trim Shear
 (Installed Qty-2)",,,,,,,,,,,,,
D13,1000189373,"SINAMICS SINGLE MOTOR MODULES INPUT: 600 V DC OUTPUT: 3-PH 400V, 260 A 
MLFB NO- 6SL3320-1TE32-6AA0",,PC,1,"Chopping Shear
 (Installed Qty-1)",,,,,,,,,,,,,
